warscroll_id|keyword|is_faction_keyword|parameter|
000000009|DESTRUCTION|true||
000000009|GLOOMSPITE GITZ|true||
000000009|MOONCLAN|true||
000000009|CHAMPION|false||
000000009|INFANTRY|false||
000000009|MUSICIAN|false|1/20|
000000009|STANDARD BEARER|false|1/20|
000000010|DESTRUCTION|true||
000000010|GLOOMSPITE GITZ|true||
000000010|MOONCLAN|true||
000000010|CHAMPION|false||
000000010|INFANTRY|false||
000000010|MUSICIAN|false|1/20|
000000010|STANDARD BEARER|false|1/20|
000000011|DESTRUCTION|true||
000000011|GLOOMSPITE GITZ|true||
000000011|TROGGOTH|true||
000000011|HERO|false||
000000011|MONSTER|false||
000000012|DESTRUCTION|true||
000000012|GLOOMSPITE GITZ|true||
000000012|MOONCLAN|true||
000000012|HERO|false||
000000012|INFANTRY|false||
000000012|WIZARD|false|1|
000000013|DESTRUCTION|true||
000000013|GLOOMSPITE GITZ|true||
000000013|MOONCLAN|true||
000000013|SQUIG|true||
000000013|FLY|false||
000000013|HERO|false||
000000013|MONSTER|false||
000000014|DESTRUCTION|true||
000000014|GLOOMSPITE GITZ|true||
000000014|MOONCLAN|true||
000000014|SQUIG|true||
000000014|CAVALRY|false||
000000014|FLY|false||
000000014|HERO|false||
000000015|DESTRUCTION|true||
000000015|GLOOMSPITE GITZ|true||
000000015|MOONCLAN|true||
000000015|SQUIG|true||
000000015|HERO|false||
000000015|INFANTRY|false||
000000016|DESTRUCTION|true||
000000016|GLOOMSPITE GITZ|true||
000000016|MOONCLAN|true||
000000016|HERO|false||
000000016|INFANTRY|false||
000000016|WIZARD|false|1|
000000017|DESTRUCTION|true||
000000017|GLOOMSPITE GITZ|true||
000000017|TROGGOTH|true||
000000017|HERO|false||
000000017|INFANTRY|false||
000000017|UNIQUE|false||
000000018|DESTRUCTION|true||
000000018|GLOOMSPITE GITZ|true||
000000018|SPIDERFANG|true||
000000018|CAVALRY|false||
000000018|HERO|false||
000000019|DESTRUCTION|true||
000000019|GLOOMSPITE GITZ|true||
000000019|MOONCLAN|true||
000000019|HERO|false||
000000019|INFANTRY|false||
000000019|UNIQUE|false||
000000019|WARD|false|4+|
000000019|WARMASTER|false||
000000019|WIZARD|false|2|
000000020|DESTRUCTION|true||
000000020|GLOOMSPITE GITZ|true||
000000020|SPIDERFANG|true||
000000020|HERO|false||
000000020|INFANTRY|false||
000000020|WARD|false|6+|
000000020|WIZARD|false|1|
000000022|DESTRUCTION|true||
000000022|GLOOMSPITE GITZ|true||
000000022|MOONCLAN|true||
000000022|CHAMPION|false||
000000022|INFANTRY|false||
000000022|UNIQUE|false||
000000023|DESTRUCTION|true||
000000023|GLOOMSPITE GITZ|true||
000000023|MOONCLAN|true||
000000023|HERO|false||
000000023|INFANTRY|false||
000000023|WARD|false|6+|
000000024|ARACHNAROK|true||
000000024|DESTRUCTION|true||
000000024|GLOOMSPITE GITZ|true||
000000024|SPIDERFANG|true||
000000024|HERO|false||
000000024|MONSTER|false||
000000024|WIZARD|false|1|
000000025|DESTRUCTION|true||
000000025|GLOOMSPITE GITZ|true||
000000025|MONSTER|false||
000000026|ARACHNAROK|true||
000000026|DESTRUCTION|true||
000000026|GLOOMSPITE GITZ|true||
000000026|SPIDERFANG|true||
000000026|MONSTER|false||
000000027|ARACHNAROK|true||
000000027|DESTRUCTION|true||
000000027|GLOOMSPITE GITZ|true||
000000027|SPIDERFANG|true||
000000027|MONSTER|false||
000000028|DESTRUCTION|true||
000000028|GLOOMSPITE GITZ|true||
000000028|MOONCLAN|true||
000000028|SQUIG|true||
000000028|FLY|false||
000000028|MONSTER|false||
000000029|ARACHNAROK|true||
000000029|DESTRUCTION|true||
000000029|GLOOMSPITE GITZ|true||
000000029|SPIDERFANG|true||
000000029|MONSTER|false||
000000035|DESTRUCTION|true||
000000035|GLOOMSPITE GITZ|true||
000000035|MOONCLAN|true||
000000035|SQUIG|true||
000000035|CAVALRY|false||
000000035|CHAMPION|false||
000000035|FLY|false||
